
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2024-10-25 21:24:45 /assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6  ~ 0.38ms
  2024-10-25 21:24:45 /assets/img/logo.png ................................................................. ~ 1.52ms
  2024-10-25 21:25:20 /ask-for-information/list ................................................................ ~ 1s
  2024-10-25 21:25:20 /assets/vendor/bootstrap/css/bootstrap.min.css ........................................... ~ 1s
  2024-10-25 21:25:21 /assets/vendor/bootstrap-icons/bootstrap-icons.css ................................... ~ 2.90ms
  2024-10-25 21:25:21 /assets/vendor/boxicons/css/boxicons.min.css ......................................... ~ 0.99ms
  2024-10-25 21:25:21 /assets/vendor/quill/quill.snow.css .................................................. ~ 4.04ms
  2024-10-25 21:25:21 /assets/vendor/quill/quill.bubble.css ................................................ ~ 0.58ms
  2024-10-25 21:25:21 /assets/vendor/remixicon/remixicon.css ............................................... ~ 0.66ms
  2024-10-25 21:25:21 /assets/vendor/simple-datatables/style.css ........................................... ~ 0.57ms
  2024-10-25 21:25:21 /assets/css/style.css ................................................................ ~ 0.65ms
  2024-10-25 21:25:21 /assets/vendor/apexcharts/apexcharts.min.js .......................................... ~ 3.66ms
  2024-10-25 21:25:21 /assets/img/au_logo.jpg .............................................................. ~ 0.60ms
  2024-10-25 21:25:21 /assets/img/profile-img.jpg .......................................................... ~ 5.21ms
  2024-10-25 21:25:21 /assets/vendor/bootstrap/js/bootstrap.bundle.min.js .................................. ~ 0.59ms
  2024-10-25 21:25:21 /assets/vendor/chart.js/chart.umd.js ................................................. ~ 0.48ms
  2024-10-25 21:25:21 /assets/vendor/echarts/echarts.min.js ................................................ ~ 0.49ms
  2024-10-25 21:25:21 /assets/vendor/quill/quill.js ........................................................ ~ 0.68ms
  2024-10-25 21:25:21 /assets/vendor/simple-datatables/simple-datatables.js ................................ ~ 0.59ms
  2024-10-25 21:25:21 /assets/vendor/tinymce/tinymce.min.js ................................................ ~ 1.51ms
  2024-10-25 21:25:21 /assets/vendor/php-email-form/validate.js ............................................ ~ 0.54ms
  2024-10-25 21:25:21 /assets/js/main.js ................................................................... ~ 0.56ms
  2024-10-25 21:25:21 /assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6  ~ 0.67ms
  2024-10-25 21:25:24 /ask-for-information/add-new ....................................................... ~ 506.45ms
  2024-10-25 21:25:24 /assets/vendor/bootstrap/css/bootstrap.min.css ..................................... ~ 508.70ms
  2024-10-25 21:25:24 /assets/vendor/bootstrap-icons/bootstrap-icons.css ................................... ~ 4.37ms
  2024-10-25 21:25:24 /assets/vendor/boxicons/css/boxicons.min.css ......................................... ~ 7.08ms
  2024-10-25 21:25:24 /assets/vendor/quill/quill.snow.css .................................................. ~ 9.93ms
  2024-10-25 21:25:24 /assets/vendor/quill/quill.bubble.css ............................................... ~ 12.65ms
